Manufacture,Model,Bulletin_Level,Release_Date,Details,Android_Level_Guessed,Version,difference
Kazuna,eTalk,2019-09-01,2019-10-18, Enhancements You can now record a video and send it through messaging Improved UI experience with quick menu selection response Performance improvements Mobile hotspot cannot be turned unless enabled by Verizon LTE data can not be used when Wi-Fi is connected but no ISP The New Voicemail indicator clears when all new voicemails are retrieved Additional feature updates or enhancements ,False,,47
Kyocera,Cadence,2018-03-01,2018-03-02,,nan, 1.420VZ 1.420VZ,1
Kyocera,DuraForce PRO with Sapphire Shield,2018-08-01,2018-08-15,,nan, 5.561VZ 5.561VZ,14
Kyocera,DuraForce PRO with Sapphire Shield,2018-12-01,2018-12-04,,nan, 5.572VZ 5.572VZ,3
Kyocera,LTE,2017-09-05,2018-03-02,"Android Security Patch Level: 2017-09-05, including Krack Security Patch The current software update gives you the most up to date Android security patches on your device. ",False,,178
Kyocera,LTE,2019-12-01,2019-12-09," This update: Addresses an issue with short battery life for users who have Talk & Text (No data) plan. Preloads the latest apps: MVS, My Verizon, Cloud, Message+. Now allows modifiable pre-programmed contact. Addresses an XT9Word input issue. ",False,,8
Kyocera ,Brigadier,2015-08-13,2016-08-19,,True,,372
Kyocera ,Cadence,2017-09-05,2018-03-02,,False,,178
Kyocera ,DuraForce PRO 2,2019-01-01,2019-02-01,,False,,31
Kyocera ,DuraForce PRO 2,2019-02-01,2019-03-18,,False,,45
Kyocera ,DuraForce PRO 2,2019-04-01,2019-04-29,,False,,28
Kyocera ,DuraForce PRO with Sapphire Shield,2018-05-01,2018-06-14,,False,,44
Kyocera ,DuraForce PRO with Sapphire Shield,2018-08-01,2018-08-15,,False,,14
Kyocera ,DuraForce PRO with Sapphire Shield,2018-11-01,2018-12-04,,False,,33
LG,Exalt LTE,2018-12-01,2018-12-17," This software update for your LG Exalt LTE includes RTT / TTS modes, updated applications, and the latest Android security patches. Option menu - Manage contacts Manage contacts menu option has been added in Contacts. Import contacts via Bluetooth®. Once you enter the vCard file, you cannot ""Select All"" to transfer the contacts. ",True,,16
LG,Exalt LTE,2018-12-03,2018-12-17,,True,,14
LG,Exalt LTE,2019-04-01,2019-04-05,,True,,4
LG,G Pad 10.1,2017-05-01,2017-05-30,The current software update gives you the most up to date Android™ security patches on your device. ,True,,29
LG,G Pad 10.1 LTE,2017-05-01,2017-05-30,,False,,29
LG,G Pad 7.0,2017-05-01,2017-05-03,The current software update gives you the most up to date Android™ security patches on your device. ,True,,2
LG,G Pad 7.0 LTE,2017-05-01,2017-05-03,,False,,2
LG,G Pad 8.3,2017-03-01,2017-03-30,The current software update gives you the most up to date Android™ security patches on your device. ,True,,29
LG,G Pad 8.3 LTE,2017-03-07,2017-03-30,,False,,23
LG,G Pad X8.3,2017-03-01,2017-03-08,The current software update gives you the most up to date Android™ security patches on your device. ,True,,7
LG,G Pad X8.3,2017-03-05,2017-03-08,,False,,3
LG,G Vista,2017-05-01,2017-05-02,,False,,1
LG,G2,2015-11-01,2015-11-02,,True,,1
LG,G3,2017-02-01,2017-02-28,The current software update gives you the most up to date Android security patch on your device. ,True,,27
LG,G3,2017-02-05,2017-02-28,,True,,23
LG,G3,2017-04-01,2017-04-11,,True,,10
LG,G3,2017-04-03,2017-04-11,,False,,8
LG,G4,2017-06-01,2017-06-06,The current software update gives you the most up to date Android™ security patches on your device. ,True,,5
LG,G4,2017-06-05,2017-06-06,,True,,1
LG,G5,2018-03-01,2018-03-20,,False,,19
LG,G5,2018-08-01,2018-09-21,,False,,51
LG,G5,2018-10-01,2018-10-25,,nan, VS98730b VS98730b,24
LG,G6,2018-11-01,2018-11-30,,False,,29
LG,G6,2018-12-01,2019-01-15,,False,,45
LG,G6,2019-02-01,2019-02-18,,False,,17
LG,G6,2019-05-01,2019-07-24, The current software update provides performance improvements and the most up to date Android security patches on your device. ,False,,84
LG,G6,2019-08-01,2019-09-24," This software update includes Pie OS upgrade and the latest Android security patches. Android Pie Home touch buttons with gesture: Just swipe up to switch to Overview or App drawer. Swipe right to move to the most recently used app. Use the Volume keys for media: Changes what the Volume keys adjust by default from ringtone volume to media volume. Show lockdown option: In the lockdown mode, biometrics cannot be used, all lock screen notifications are hidden, and Smart Lock turns off. Press and hold the Power key and select Lockdown. Screenshot thumbnail: When a screenshot is taken, its preview is displayed in the bottom right side of the screen in a thumbnail. ",False,,54
LG,G7 ThinQ,2018-12-01,2019-01-24,,False,,54
LG,G7 ThinQ,2019-02-01,2019-03-04,,False,,31
LG,G7 ThinQ,2019-03-01,2019-04-12,,False,,42
LG,G7 ThinQ,2019-04-01,2019-06-04,,nan, G710VM20a G710VM20a,64
LG,G7 ThinQ,2019-05-01,2019-06-21, The current software update provides the most up to date Android security patches on your device. ,False,,51
LG,G7 ThinQ,2019-08-01,2019-09-06, The current update includes: The latest Android security patches Google and Verizon pre-loaded app updates ,False,,36
LG,G7 ThinQ,2019-10-01,2019-11-01, The current software update provides the most up to date Android security patches on your device. ,False,,31
LG,G8 ThinQ,2019-04-01,2019-04-24,,False,,23
LG,G8 ThinQ,2019-06-01,2019-07-26, The latest software update includes: The latest Android security patches Camera improvements ,False,,55
LG,G8 ThinQ,2019-09-01,2019-10-04, The latest software update includes: The latest Android security patches Pre-loaded app enhancements ,False,,33
LG,G8 ThinQ,2019-10-01,2019-11-22, The current software update gives you the most up to date Android security patches on your device. ,False,,52
LG,K20 V,2018-12-01,2018-12-20,,False,,19
LG,K20 V,2019-01-01,2019-02-14,,False,,44
LG,K20 V,2019-03-01,2019-03-20,,False,,19
LG,K4,2018-02-01,2018-02-19,,False,,18
LG,K4,2018-04-01,2018-04-23,,False,,22
LG,K8 V,2018-03-01,2018-03-21,Android Security Patch Level: 2018-03-01 The current software update gives you the most up to date Android security patches on your device. ,False,,20
LG,K8 V,2018-04-01,2018-05-07,,False,,36
LG,K8 V,2018-05-01,2018-05-07,,nan, VS50020i VS50020i,6
LG,Optimus Zone 3,2017-09-01,2017-10-10,,False,,39
LG,Optimus Zone 3,2017-10-01,2017-10-10,,nan, VS425PP9 VS425PP9,9
LG,Stylo 2 V,2018-07-01,2018-07-20,,False,,19
LG,Stylo 2 V,2018-09-01,2018-09-20,,False,,19
LG,Stylo 2 V,2019-10-01,2019-11-20, The current software update gives you the most up to date Android security patches on your device. ,False,,50
LG,Stylo 5,2019-09-01,2019-10-03, The current software update gives you the most up to date Android security patches on your device. ,False,,32
LG,Stylo 5,2019-10-01,2019-12-02," This software update for your LG Stylo 5 includes fundamental application updates and the latest Android security patches. Live Stickers Add stickers to your photos in Camera and Gallery. The selection of stickers change based on the time, location and event. ",False,,62
LG,V10,2017-08-01,2017-08-30,,False,,29
LG,V10,2017-12-01,2018-01-16,,False,,46
LG,V20,2018-08-01,2018-09-17,,False,,47
LG,V20,2018-10-01,2018-10-18,,False,,17
LG,V20,2018-11-01,2018-11-14,,nan, VS99520c VS99520c,13
LG,V30,2019-01-01,2019-01-18,,False,,17
LG,V30,2019-02-01,2019-02-18,,False,,17
LG,V30,2019-03-01,2019-03-21,,False,,20
LG,V30,2019-05-01,2019-05-31, This software update includes camera application updates and the latest Android security patches. ,False,,30
LG,V30,2019-06-01,2019-07-05, The current software update provides your device with: The most up to date Android security patches System enhancements Updates to LG apps ,False,,34
LG,V30,2019-08-01,2019-09-13," This software update for your LG V30 includes the Pie Operating System upgrade and latest Android security patches. Android Pie Home touch buttons with gesture: Just swipe up to switch to Overview or App drawer. Swipe right to move to the most recently used app. Use the Volume keys for media: Changes what the Volume keys adjust by default from ringtone volume to media volume. Show lockdown option: In the lockdown mode, biometrics cannot be used, all lock screen notifications are hidden, and Smart Lock turns off. To enter this mode, Press and hold the Power key and select Lockdown. Screenshot thumbnail: When a screenshot is taken, its preview is displayed in the bottom right side of the screen as a thumbnail. ",False,,43
LG,V40 ThinQ,2018-10-01,2018-11-14,,False,,44
LG,V40 ThinQ,2018-12-01,2019-01-30,,False,,60
LG,V40 ThinQ,2019-02-01,2019-03-04,,False,,31
LG,V40 ThinQ,2019-04-01,2019-05-24,,nan, V405UA20a V405UA20a,53
LG,V40 ThinQ,2019-05-01,2019-06-21, The current software update provides the most up to date Android security patches on your device. ,False,,51
LG,V40 ThinQ,2019-08-01,2019-09-24," This software update includes fundamental enhancements and the latest Android security patches. Screen recording: Record the phone's screen to show what you do on it. Secure power-off: When the phone is locked, unlocking is required to power off. This helps to prevent someone from powering off the phone when it is lost or stolen. ",False,,54
LG,V40 ThinQ,2019-10-01,2019-11-01, The current software update provides the most up to date Android security patches on your device. ,False,,31
LG,V50 ThinQ 5G,2019-07-01,2019-07-16,,nan, V450VM10e V450VM10e,15
LG,V50 ThinQ 5G,2019-08-01,2019-08-29, The current software update provides the most up to date Android security patches and performance improvements on your device. ,False,,28
LG,V50 ThinQ 5G,2019-10-01,2019-10-24, The current software update provides the most up to date Android security patches on your device. ,False,,23
LG,Watch Urbane 2nd Edition,2016-12-01,2016-12-19,The current software update gives you the most up to date Android™ security patches on your device. ,True,,18
LG,ZONE 4,2018-11-01,2018-12-17,,False,,46
LG,ZONE 4,2019-01-01,2019-01-23,,False,,22
LG,ZONE 4,2019-03-01,2019-03-28,,False,,27
LG,ZONE 4,2019-05-01,2019-05-28,,nan, X210VPP13a X210VPP13a,27
LG,ZONE 4,2019-07-01,2019-07-17, The current software update gives you the most up to date Android security patches on your device. ,False,,16
LG,ZONE 4,2019-09-01,2019-09-18, The current software update gives you the most up to date Android security patches on your device. ,False,,17
LG,ZONE 4,2019-11-01,2019-12-11, The current software update provides the most up to date Android security patches on your device. ,False,,40
Motorola,DROID MAXX 2,2017-12-01,2018-02-08,,False,,69
Motorola,DROID MINI,2016-05-01,2016-05-05,,True,,4
Motorola,DROID TURBO 2,2017-08-01,2017-11-16,,False,,107
Motorola,Droid Mini,2016-05-01,2016-05-05,The current software update gives you the most up to date Android™ security patch on your device. ,True,,4
Motorola,Droid TURBO,2017-03-01,2017-03-01, The current software update gives you the most up to date Android™ security patch on your device. ,True,,0
Motorola,Droid Turbo,2017-02-06,2017-03-01,,True,,23
Motorola,Droid Turbo 2,2017-10-01,2017-11-16,"Android™ Security Patch Level: 2017-10-01, including Blueborne The current software update gives you the most up to date Android security patches on your device. ",False,,46
Motorola,Moto G Play,2018-03-01,2018-03-23,,False,,22
Motorola,Moto G Play,2018-04-01,2018-05-29,,False,,58
Motorola,Moto G Play,2018-05-01,2018-05-29,,nan, NPI26.48-43 NPI26.48-43,28
Motorola,Moto G Play,2018-06-01,2018-06-28,,False,,27
Motorola,Moto X,2016-05-01,2016-05-16,,True,,15
Motorola,Moto X (2nd Gen.),2016-11-01,2016-11-18,The current software update gives you the most up to date Android™ security patch on your device. ,True,,17
Motorola,Moto X (2nd Gen.),2016-11-06,2016-11-18,,True,,12
Motorola,Moto Z Droid Edition,2018-05-01,2018-06-18,,False,,48
Motorola,Moto Z Droid Edition,2018-07-01,2018-07-25,,False,,24
Motorola,Moto Z Droid Edition,2018-09-01,2018-11-09,,False,,69
Motorola,Moto Z Force Droid Edition,2018-05-01,2018-06-18,,False,,48
Motorola,Moto Z Force Droid Edition,2018-07-01,2018-07-25,,False,,24
Motorola,Moto Z Force Droid Edition,2018-09-01,2018-11-09,,False,,69
Motorola,Moto Z Play Droid Edition,2018-06-01,2018-07-03,,False,,32
Motorola,Moto Z Play Droid Edition,2018-08-01,2018-09-06,,False,,36
Motorola,Moto Z Play Droid Edition,2018-09-01,2018-09-06,,nan, ODN27.76-12-30-8 ODN27.76-12-30-8,5
Motorola,Moto Z Play Droid Edition,2018-10-01,2018-10-09,,nan, ODN27.76-12-30-8-1 ODN27.76-12-30-8-1,8
Motorola,Moto e4,2018-03-01,2018-04-03,,False,,33
Motorola,Moto e4,2018-04-01,2018-04-03,,nan, NDQS26.69-64-2 NDQS26.69-64-2,2
Motorola,Moto e4,2018-05-01,2018-05-31,,False,,30
Motorola,Moto e4,2018-07-01,2018-07-25,,False,,24
Motorola,Moto e4 gold,2018-11-01,2018-11-28,,False,,27
Motorola,Moto e4 gold,2019-01-01,2019-02-18,,False,,48
Motorola,Moto e4 gold,2019-02-01,2019-05-03,,,,91
Motorola,Moto e4 plus,2018-11-01,2018-12-04,,False,,33
Motorola,Moto e4 plus,2019-01-01,2019-02-04,,False,,34
Motorola,Moto e4 plus,2019-02-01,2019-04-30,,False,,88
Motorola,Moto e5 go,2019-01-01,2019-01-25,,False,,24
Motorola,Moto e5 go,2019-02-01,2019-05-10,,False,,98
Motorola,Moto e5 play,2018-12-01,2019-01-16,,False,,46
Motorola,Moto e5 play,2019-02-01,2019-03-01,,False,,28
Motorola,Moto g6,2018-11-01,2018-12-07,,False,,36
Motorola,Moto g6,2019-01-01,2019-01-31,,False,,30
Motorola,Moto g6,2019-03-01,2019-03-29,,False,,28
Motorola,Moto g6 play,2018-11-01,2018-11-28,,False,,27
Motorola,Moto g6 play,2019-01-01,2019-01-29,,False,,28
Motorola,Moto g6 play,2019-02-01,2019-04-17,,False,,75
Motorola,Moto g7 power,2019-05-08,2019-05-08,,False,,0
Motorola,Moto z2 force,2018-11-01,2018-11-30,,False,,29
Motorola,Moto z2 force,2019-01-01,2019-01-23,,False,,22
Motorola,Moto z2 force,2019-02-01,2019-04-30,,False,,88
Motorola,Moto z2 play,2018-12-01,2018-12-27,,False,,26
Motorola,Moto z2 play,2019-02-01,2019-02-22,,False,,21
Motorola,Moto z3,2018-12-01,2018-12-27,,False,,26
Motorola,Moto z3,2019-03-01,2019-04-02,,False,,32
Motorola,e 4  gold,2019-02-01,2019-05-03,,nan, NDQS26.69-64-11-7 NDQS26.69-64-11-7,91
Motorola,e 4  gold,2019-07-01,2019-08-14,,nan, NDQS26.69-64-11-13 NDQS26.69-64-11-13,44
Motorola,e 4  gold,2019-09-01,2019-10-03,,nan, NDQS26.69-64-11-5 NDQS26.69-64-11-5,32
Motorola,e 4  plus,2019-01-01,2019-02-04,,nan, NDRS26.58-33-9-10 NDRS26.58-33-9-10,34
Motorola,e 4  plus,2019-02-01,2019-04-30,,nan, NDRS26.58-33-9-12 NDRS26.58-33-9-12,88
Motorola,e 4  plus,2019-06-01,2019-07-26,,nan, NDRS26.58-33-9-16 NDRS26.58-33-9-16,55
Motorola,e 4  prepaid,2019-02-01,2019-05-03,,nan, NDQS26.69-64-11-7 NDQS26.69-64-11-7,91
Motorola,e 4  prepaid,2019-07-01,2019-08-14,,nan, NDQS26.69-64-11-13 NDQS26.69-64-11-13,44
Motorola,e 4  prepaid,2019-09-01,2019-10-03,,nan, NDQS26.69-64-11-16 NDQS26.69-64-11-16,32
Motorola,e 5  go,2019-05-01,2019-06-13,,nan, OPP28.151-22-5 OPP28.151-22-5,43
Motorola,e 5  go,2019-07-01,2019-08-05,,nan, OPPS28.151-22-5-4 OPPS28.151-22-5-4,35
Motorola,e 5  go,2019-09-01,2019-09-24,,nan, OPPS28.151-22-5-6 OPPS28.151-22-5-6,23
Motorola,e 5  play,2019-06-01,2019-07-29,,nan, ODP27.91-167-9 ODP27.91-167-9,58
Motorola,e 5  play,2019-08-01,2019-08-29,,nan, ODPS27.91-167-9-2 ODPS27.91-167-9-2,28
Motorola,e 5  play,2019-10-01,2019-10-10,,nan, ODPS27.91-167-9-3 ODPS27.91-167-9-3,9
Motorola,e 6,2019-08-01,2019-09-24,,nan, PCB29.73-81 PCB29.73-81,54
Motorola,e4,2018-03-01,2018-04-03,Android Security Patch Level: 2018-03-01 The current software update gives you the most up to date Android security patches on your device. ,False,,33
Motorola,e4,2018-05-01,2018-05-31,Android Security Patch Level: 2018-05-01 The current software update gives you the most up to date Android security patches on your device. ,False,,30
